,FORMULA,T (K),Cp (J/molK)
3436,O5Ti3,1000.0,215.894
2104,Ca1S1,2200.0,58.743
1262,Br2Sr1,930.0,115.06
448,B2Be3O6,1100.0,292.211
3349,O2.90W1,2600.0,119.37
226,Br3Zr1,900.0,105.855
1327,Co1,600.0,29.665
810,Be1H2O2,500.0,92.994
2794,Mg1O3Ti1,600.0,118.453
1599,H1Na1O1,700.0,86.023
1685,Cu1O4S1,400.0,114.934
1046,Cu1O1,1000.0,55.262
4541,W1,1200.0,28.472
2953,N1V1,900.0,52.48
706,Be1O4S1,1200.0,189.209
2599,Mo1S2,1800.0,84.81
2836,Li2O2,400.0,82.676
244,Br2Ti1,400.0,79.85600000000001
3801,Mo2S3,500.0,122.926
1606,H1Na1O1,300.0,59.664
1467,Cl2Cu1,700.0,79.956
1000,B1N1,1900.0,48.953
734,Ba1F2,700.0,82.383
357,B1H3O3,500.0,114.642
338,Br2Hg2,1000.0,121.545
792,C1K1N1,1300.0,66.669
44,Al1Cl4K1,400.0,165.477
3646,I1K1,1400.0,74.601
589,Br1H4N1,1400.0,174.264
2429,Al1Na1O2,800.0,98.751
1678,Cu1O4S1,1100.0,156.063
276,B1Ti1,1000.0,51.915
4576,Zr1,600.0,27.281
3634,H2O2Sr1,783.15,139.37
2834,Li2O2,600.0,97.445
1692,H1Li1,1000.0,68.028
2051,C1K2O3,1700.0,254.555
333,Al1,300.0,24.247
114,Be1F2,298.0,51.819
3007,Na2O1,1200.0,97.629
2297,Mn1,1700.0,47.624
2807,Na2S2,298.0,98.625
4256,O2Zr1,400.0,63.848
1909,Fe1S1,1800.0,99.67
3787,Mo2S3,1900.0,172.666
4063,O1Sr1,2600.0,67.208
3739,Mg1,1700.0,50.0
435,B2Be3O6,2400.0,323.423
3106,Nb1O1,300.0,41.187
2548,Mo1O3,500.0,87.751
34,Be1F3Li1,600.0,129.704
4395,Pb1S1,500.0,51.463
3635,H2O2Sr1,700.0,128.32299999999998
3003,Na2O1,1400.0,99.86
2928,N1V1,3400.0,76.191
255,B1Ti1,3100.0,54.869
3712,Li2O5Si2,2300.0,263.341
3886,N5P3,300.0,149.787
999,B1N1,2000.0,48.953
3291,O3W1,600.0,93.113
650,Ba1,1200.0,39.066
1868,Fe1H3O3,500.0,129.704
973,Al2O3,1300.0,129.737
1860,Fe1H3O3,1300.0,173.218
4158,O2.96W1,1000.0,100.709
2272,H1K1O1,298.0,64.89399999999999
4067,O1Sr1,2200.0,64.563
1498,Be1Cl2,1300.0,85.007
2540,Mo1O3,1200.0,118.679
2015,Hf1,500.0,27.692
3791,Mo2S3,1500.0,159.317
3277,O3W1,1745.0,109.537
3057,O1Ti1,1100.0,60.961000000000006
1991,H4I1N1,500.0,96.148
3453,O5V2,800.0,177.25099999999998
4153,O2.96W1,1500.0,107.194
726,Ba1F2,1300.0,137.654
3270,O3W1,2400.0,120.499
2788,Mg1O3Ti1,1200.0,133.43200000000002
1705,F2H1K1,1600.0,100.249
3213,Nb1O2,1800.0,83.052
4558,Zn1,600.0,28.588
1326,Co1,700.0,31.045
2536,K1O2,300.0,77.613
730,Ba1F2,1100.0,104.182
98,B2Mg1,400.0,54.392
21,Be1I2,753.0,85.944
1158,Cl1Li1,883.0,61.702
4136,O2.72W1,400.0,76.902
2411,Al1Na1O2,2600.0,127.163
3200,Ca1,400.0,26.868
1147,Cl1Li1,1900.0,82.863
201,Ba1H2O2,298.0,101.629
2571,C1Na2O3,400.0,125.102
3369,O2.90W1,600.0,90.918
835,Al1H4Li1,900.0,116.2
3601,F1Li1,1900.0,72.821
3889,Na2O2,2300.0,113.596
2103,Ca1S1,2300.0,59.115
1591,Fe3O4,298.0,147.235
3135,Nb1,2400.0,37.317
1369,Al1Li1O2,2100.0,117.294
1758,Be3N2,2200.0,129.526
2867,Al2Mg1O4,1900.0,213.325
542,Al1Cl1O1,1200.0,80.709
2278,H1K1O1,900.0,78.65899999999999
3232,Nb1O2,300.0,57.605
3557,Br2Mo1,400.0,80.751
3723,Li2O5Si2,1300.0,248.195
1398,Co1F2,1100.0,84.646
4297,O4Pb2Si1,800.0,184.18
245,Br2Ti1,300.0,78.709
1607,H1Na1O1,298.0,59.53
3658,I1K1,300.0,52.806
765,Ba1I2,400.0,79.538
2102,Ca1S1,2400.0,59.496
1157,Cl1Li1,900.0,62.06100000000001
2728,Mg1S1,1200.0,52.802
802,C1K1N1,400.0,66.316
3175,O3Ti2,1500.0,150.75
242,Br2Ti1,600.0,82.149
1453,Cl1Li1O4,800.0,166.523
1438,Fe1I2,300.0,83.68
1981,H4I1N1,1500.0,158.643
2270,I4Ti1,300.0,125.947
2607,Mo1S2,1000.0,78.241
4253,O2Zr1,700.0,72.023
3751,Mg1,600.0,28.184
4520,W1,3300.0,48.953
4075,O1Sr1,1400.0,59.103
4304,O4S1Zn1,1900.0,145.185
1416,Br2Fe1,800.0,91.404
1506,Be1Cl2,600.0,80.082
1059,Br1Na1,1600.0,68.618
957,Al2O3,2800.0,142.591
90,B2Mg1,1200.0,76.442
1055,Br1Na1,298.0,51.4
3089,Nb1O1,2000.0,60.626000000000005
2023,F2Hg2,1200.0,123.709
1854,Cr1N1,700.0,51.087
4219,O2Ti1,500.0,68.145
64,Al2Be1O4,700.0,161.75
575,Be1F4Li2,700.0,195.18400000000003
967,Al2O3,1900.0,135.89600000000002
3652,I1K1,900.0,65.793
1745,Hg1O1,500.0,51.631
4466,Ti1,1000.0,32.074
574,Be1F4Li2,732.2,199.995
4291,O4Pb2Si1,1400.0,195.30900000000003
832,Al1H4Li1,1200.0,119.746
2035,I2Sr1,1300.0,105.493
4246,O2Zr1,1400.0,79.45
2516,Mg2O4Ti1,1000.0,183.686
4575,Zr1,700.0,28.053
1633,H1Na1,700.0,53.723
2863,Al2Mg1O4,2300.0,227.877
1637,H1Na1,300.0,36.535
4361,P1,350.0,24.731
3206,Nb1O2,2400.0,83.052
2603,Mo1S2,1400.0,81.672
1383,Al1Li1O2,800.0,98.165
2956,N1V1,600.0,48.208
524,Al1Cl1O1,298.0,56.902
1837,Cr1N1,2400.0,62.467
137,Br2Ca1,1015.0,89.036
4150,O2.96W1,1800.0,110.792
2108,Ca1S1,1800.0,57.195
3419,Na2O5Si2,1000.0,292.88
3346,O2.90W1,2900.0,123.135
2886,N1Ti1,4200.0,82.171
4318,O4S1Zn1,700.0,138.57399999999998
4238,O2Zr1,2000.0,74.475
1269,Br2Sr1,500.0,80.835
2996,Ni1S1,298.0,47.112
3331,O4V2,1400.0,169.40599999999998
1092,Cr2O3,1200.0,129.332
677,Br4Ti1,400.0,133.779
595,Br1H4N1,800.0,126.775
2054,C1K2O3,1400.0,226.438
4211,O2Ti1,1300.0,76.484
3063,O1Ti1,500.0,48.242
63,Al2Be1O4,800.0,166.83
1259,Br2Sr1,1200.0,115.06
1279,Cl2Hg2,700.0,114.558
530,Al1Cl1O1,2400.0,83.052
1836,Cr1N1,298.0,52.677
2900,N1Ti1,2900.0,69.387
568,Be1F4Li2,1300.0,284.64
462,Al1Cl4Na1,500.0,174.054
2300,Mn1,1500.0,45.982
4501,V1,400.0,26.234
4080,O1Sr1,900.0,55.22
2475,N0.465V1,2200.0,55.94
4322,O4S1Zn1,500.0,131.21
3047,O1Ti1,2000.0,77.153
659,Ba1,600.0,33.941
3914,Na2S1,1800.0,133.888
3181,O3Ti2,900.0,144.892
1426,Fe1I2,1200.0,142.256
221,Br3Zr1,1400.0,106.357
1136,Cr2N1,1200.0,95.981
4145,O2.96W1,2300.0,117.068
1838,Cr1N1,2300.0,61.714
1469,Cl2Cu1,500.0,77.278
1182,Fe0.877S1,300.0,50.0
2144,I2Mg1,600.0,83.01100000000001
275,B1Ti1,1100.0,52.191
4017,Ni3S4,298.0,164.808
1853,Cr1N1,800.0,51.714
2615,Mo1S2,298.0,63.555
286,Be2O4Si1,2800.0,193.702
1408,Br2Fe1,298.0,80.232
1500,Be1Cl2,1100.0,84.23
1719,F2H1K1,469.85,100.249
3582,Cu1,1300.0,32.143
4574,Zr1,800.0,28.966
3012,Na2O1,900.0,93.266
3893,Na2O2,1900.0,113.596
83,B2Mg1,1900.0,92.242
1593,H1Na1O1,1300.0,86.023
1635,H1Na1,500.0,47.154
3459,O5V2,298.0,130.599
1539,F1Na1,1400.0,69.16199999999999
982,Al2O3,400.0,96.086
2545,Mo1O3,800.0,100.031
1721,F2H1K1,300.0,77.111
4345,O4Si1Zr1,1000.0,147.27700000000002
3229,Nb1O2,600.0,71.65100000000001
1640,Cl1Na1O4,1400.0,205.267
1290,Fe1O1,1500.0,63.396
260,B1Ti1,2600.0,54.2
1029,Co1O4S1,900.0,155.394
4499,V1,500.0,26.945
3650,I1K1,1000.0,69.036
981,Al2O3,500.0,106.131
3457,O5V2,400.0,150.95
1704,F2H1K1,1700.0,100.249
2598,Mo1S2,1900.0,85.605
538,Al1Cl1O1,1600.0,82.21600000000001
1392,Co1F2,1600.0,86.51700000000001
4308,O4S1Zn1,1500.0,145.185
1604,H1Na1O1,500.0,75.157
4119,O2.72W1,2100.0,109.537
1282,Cl2Hg2,400.0,106.023
29,Be1F3Li1,1000.0,179.912
4164,O2.96W1,400.0,81.50399999999999
3591,Cu1,450.0,25.686
833,Al1H4Li1,1100.0,118.847
2712,Mg1S1,2800.0,59.371
1283,Cl2Hg2,300.0,102.048
3411,Na2O5Si2,1700.0,292.88
460,Al1Cl4Na1,700.0,189.117
1916,Fe1S1,1200.0,63.31100000000001
859,C1Be2,1800.0,91.349
3901,Na2O2,1100.0,113.596
1090,Cr2O3,1400.0,131.457
3280,O3W1,1500.0,105.512
311,Be2O4Si1,300.0,96.098
2778,Mg1O3Ti1,2100.0,145.98
224,Br3Zr1,1100.0,106.148
1310,Co1,1800.0,37.656
4083,O1Sr1,600.0,52.049
1859,Fe1H3O3,1400.0,174.68200000000002
1644,Cl1Na1O4,1000.0,187.025
2476,N0.465V1,2100.0,54.93600000000001
1294,Fe1O1,1100.0,60.234
1431,Fe1I2,800.0,110.876
2918,N1Ti1,1100.0,52.919
4532,W1,2100.0,32.744
2987,Ni1S1,900.0,60.208
1076,Cr2O3,2700.0,144.428
1579,Fe3O4,1200.0,200.832
4516,W1,3680.0,66.149
2492,N0.465V1,500.0,35.016
2602,Mo1S2,1500.0,82.46700000000001
2001,Hf1,1900.0,38.569
1047,Cu1O1,900.0,54.34
2149,Mg1O3Si1,2400.0,122.432
246,Br2Ti1,298.0,78.688
2160,Mg1O3Si1,1400.0,122.432
870,C1Be2,700.0,60.434
529,Al1Cl1O1,2500.0,83.052
732,Ba1F2,900.0,88.70100000000001
2302,Mn1,1412.0,45.229
4410,S1,400.0,24.895
2888,N1Ti1,4000.0,80.193
361,Br3Ti1,1300.0,168.755
868,C1Be2,900.0,68.977
236,Br2Ti1,1200.0,89.027
1477,Fe0.947O1,2000.0,64.015
434,B2Be3O6,2500.0,325.18
2932,N1V1,3000.0,72.80199999999999
3868,N4Si3,800.0,145.812
3154,Nb1,500.0,25.899
1165,Cl1Li1,298.0,48.028
2753,K2O2,1800.0,194.857
3905,Na2O2,785.0,115.253
1275,Cl2Hg2,1100.0,122.34
2805,Na2S2,400.0,104.299
4470,Ti1,600.0,28.596
2838,Li2O2,298.0,70.626
3550,Br2Mo1,1100.0,88.073
2028,F2Hg2,700.0,114.516
1891,I1Li1,500.0,55.948
489,C0.98Nb1,2300.0,59.162
2915,N1Ti1,1400.0,55.38399999999999
1642,Cl1Na1O4,1200.0,196.648
1155,Cl1Li1,1100.0,66.266
3136,Nb1,2300.0,36.192
420,Al1F6Na3,300.0,216.212
2559,C1Na2O3,1300.0,206.188
3021,I4Si1,400.0,116.943
4316,O4S1Zn1,900.0,140.875
993,B1N1,2600.0,48.953
654,Ba1,900.0,39.066
3871,N4Si3,500.0,120.708
2828,Li2O2,1200.0,129.997
94,B2Mg1,800.0,66.52600000000001
2555,C1Na2O3,1700.0,216.899
351,B1H3O3,1100.0,167.97400000000002
28,Be1F3Li1,1100.0,192.46400000000003
4073,O1Sr1,1600.0,60.50899999999999
703,Be1O4S1,1500.0,198.656
4137,O2.72W1,300.0,68.408
1418,Br2Fe1,650.0,88.061
1533,F1Na1,2000.0,71.128
4244,O2Zr1,1478.0,80.108
713,Be1O4S1,500.0,116.357
444,B2Be3O6,1500.0,304.553
234,Br2Ti1,1400.0,91.32
1188,Cl1Na1,1073.8,67.37100000000001
3084,Nb1O1,2400.0,64.199
1680,Cu1O4S1,900.0,151.042
3161,O3Ti2,2800.0,156.774
3414,Na2O5Si2,1400.0,292.88
2324,F1K1,1800.0,71.128
1215,F2Hg1,300.0,74.89399999999999
763,Ba1I2,600.0,83.51299999999999
3788,Mo2S3,1800.0,169.33900000000003
306,Be2O4Si1,800.0,166.021
1560,H3O4P1,300.0,106.608
2889,N1Ti1,3900.0,79.203
697,Be1O4S1,2100.0,200.832
3379,Ca1Cl2,1500.0,100.416
1323,Co1,800.0,32.426
3594,Cu1,300.0,24.462
4360,P1,400.0,25.313
4491,V1,1300.0,32.74
845,C1Be2,3100.0,92.705
41,Al1Cl4K1,700.0,190.79
1160,Cl1Li1,700.0,57.781000000000006
1902,Al1I3,800.0,126.918
4042,O1Pb1,1100.0,61.672
1977,H4I1N1,1900.0,153.599
346,Br2Hg2,298.0,104.6
1499,Be1Cl2,1200.0,84.67200000000001
813,Cs1,900.0,37.656
1484,Fe0.947O1,1300.0,59.496
1181,Fe0.877S1,400.0,56.149
4245,O2Zr1,1478.0,74.475
837,Al1H4Li1,700.0,111.294
4358,P1,500.0,26.485
1318,Co1,1300.0,48.66
2713,Mg1S1,2700.0,58.953
1598,H1Na1O1,800.0,86.023
3392,Ca1Cl2,300.0,72.92699999999999
3289,O3W1,800.0,98.239
1210,F2Hg1,800.0,85.354
1041,Cu1O1,1500.0,59.395
652,Ba1,1000.0,39.066
1007,B1N1,1200.0,46.861
596,Br1H4N1,700.0,115.06
505,C0.98Nb1,700.0,48.911
4557,Zn1,692.73,29.802
4146,O2.96W1,2200.0,115.813
1787,Fe1,1400.0,38.535
4173,O2Pb1,500.0,71.69800000000001
3231,Nb1O2,400.0,63.547
2898,N1Ti1,3100.0,71.337
3142,Nb1,1700.0,31.221
368,Br3Ti1,600.0,125.507
491,C0.98Nb1,2100.0,58.158
3598,F1Li1,2200.0,75.53
1395,Co1F2,1400.0,85.839
225,Br3Zr1,1000.0,106.064
2982,Ni1S1,1300.0,71.58800000000001
3328,O4V2,1700.0,175.30200000000002
3372,O2.90W1,300.0,71.546
1306,Co1,2200.0,37.656
1280,Cl2Hg2,600.0,112.131
2871,Al2Mg1O4,1500.0,198.485
547,Al1Cl1O1,700.0,74.977
1701,H1Li1,298.0,27.957
1504,Be1Cl2,700.0,81.358
2913,N1Ti1,1600.0,57.128
2050,C1K2O3,1800.0,263.927
1378,Al1Li1O2,1300.0,106.671
3294,O3W1,300.0,73.304
4441,S1Sr1,300.0,48.727
4269,O3V2,1800.0,162.782
2046,I2Sr1,300.0,78.032
3908,Na2O2,600.0,108.445
3005,Na2O1,1243.15,98.14
1098,Cr2O3,600.0,120.549
4141,O2.96W1,2700.0,122.089
1459,Cl1Li1O4,300.0,105.437
3133,Nb1,2600.0,40.233
2688,Na2O3Si1,1500.0,188.1
1100,Cr2O3,400.0,112.675
458,Al1Cl4Na1,900.0,197.276
3439,O5Ti3,700.0,206.062
2159,Mg1O3Si1,1500.0,122.432
2330,F1K1,1200.0,66.777
1855,Cr1N1,600.0,50.417
1708,F2H1K1,1300.0,100.249
3013,Na2O1,800.0,91.291
1887,I1Li1,900.0,69.517
708,Be1O4S1,1000.0,174.43099999999998
1078,Cr2O3,2600.0,143.526
1852,Cr1N1,900.0,52.38399999999999
4415,S1Sr1,2900.0,66.212
145,Br2Ca1,300.0,75.124
1945,I2Pb1,800.0,95.102
3637,H2O2Sr1,500.0,101.755
629,Al1F6Li3,848.0,289.533
2033,F2Hg2,298.0,100.416
2810,I3Ti1,1300.0,124.064
3149,Nb1,1000.0,27.999
970,Al2O3,1600.0,133.361
4406,S1,700.0,31.045
3732,Li2O5Si2,600.0,205.685
1639,Cl1Na1O4,298.0,111.294
4077,O1Sr1,1200.0,57.639
4339,O4Si1Zr1,1600.0,150.624
2143,I2Mg1,700.0,84.726
1086,Cr2O3,1800.0,135.457
3208,Nb1O2,2200.0,83.052
4249,O2Zr1,1100.0,76.743
1709,F2H1K1,1200.0,100.249
3577,Cu1,1700.0,40.76
1777,Be3N2,300.0,64.668
3287,O3W1,1000.0,101.671
2514,Mg2O4Ti1,1200.0,191.69
2718,Mg1S1,2200.0,56.902
2172,Mg1O3Si1,600.0,106.997
2783,Mg1O3Ti1,1700.0,140.532
3618,F1Li1,300.0,41.93600000000001
1040,Cu1O1,1600.0,60.181
3203,Nb1O2,2700.0,83.052
1265,Br2Sr1,900.0,91.002
1743,Hg1O1,700.0,56.066
2556,C1Na2O3,1600.0,214.765
1710,F2H1K1,1100.0,100.249
2327,F1K1,1500.0,70.5
533,Al1Cl1O1,2100.0,82.958
1674,Cu1O4S1,1500.0,163.218
2309,Mn1,1000.0,37.698
3427,Na2O5Si2,600.0,217.576
2334,F1K1,900.0,59.078
2537,K1O2,298.0,77.53
2138,I2Mg1,1100.0,90.249
4242,O2Zr1,1600.0,74.475
483,C0.98Nb1,2900.0,62.174
2031,F2Hg2,400.0,104.684
128,B1H4Na1,600.0,108.617
853,C1Be2,2400.0,92.048
4163,O2.96W1,500.0,87.86399999999999
846,C1Be2,3000.0,92.621
4221,O2Ti1,300.0,55.471
3344,O4V2,300.0,115.787
341,Br2Hg2,700.0,117.529
2275,H1K1O1,1200.0,78.65899999999999
3148,Nb1,1100.0,28.405
1871,Fe1H3O3,298.0,101.671
2892,N1Ti1,3600.0,76.244
3906,Na2O2,785.0,113.596
1288,Fe1O1,1650.0,64.319
3204,Nb1O2,2600.0,83.052
3356,O2.90W1,1900.0,110.583
1682,Cu1O4S1,700.0,142.925
2146,I2Mg1,400.0,78.408
3556,Br2Mo1,500.0,81.797
577,Be1F4Li2,500.0,165.352
2993,Ni1S1,500.0,53.053
4384,Pb1S1,1600.0,61.714
2700,Na2O3Si1,400.0,127.779
1949,I2Pb1,500.0,80.391
277,B1Ti1,900.0,51.488
1952,I2Pb1,298.0,77.57300000000001
3212,Nb1O2,1900.0,83.052
2717,Mg1S1,2300.0,57.326
15,Be1I2,1300.0,89.115
1748,Hg1O1,298.0,44.062
1562,Fe3O4,2900.0,200.832
860,C1Be2,1700.0,90.843
131,B1H4Na1,300.0,86.64200000000001
3058,O1Ti1,1000.0,59.078
3151,Nb1,800.0,27.183000000000003
2682,Na2O3Si1,2100.0,206.376
1917,Fe1S1,1100.0,60.662
1304,Co1,2400.0,37.656
1414,Br2Fe1,964.0,95.054
4225,O2Zr1,3200.0,74.475
1023,Co1O4S1,1300.0,164.30599999999998
2776,Mg1O3Ti1,2300.0,148.833
741,Ba1I2,2600.0,112.968
796,C1K1N1,900.0,66.51100000000001
1691,H1Li1,1100.0,73.362
2762,K2O2,900.0,140.798
3091,Nb1O1,1800.0,58.831
1756,Be3N2,2400.0,129.588
2535,K1O2,400.0,83.889
2433,Al1Na1O2,600.0,94.27
271,B1Ti1,1500.0,52.727
3002,Na2O1,1405.2,99.913
1308,Co1,2000.0,37.656
2322,F1K1,298.0,48.982
3793,Mo2S3,1300.0,152.582
791,C1K1N1,1400.0,66.708
2949,N1V1,1300.0,56.986
2194,I2Zr1,800.0,98.157
4515,W1,3700.0,67.205
121,B1H4Na1,1300.0,132.675
1032,Co1O4S1,600.0,140.666
2109,Ca1S1,1700.0,56.761
1505,Be1Cl2,688.0,81.278
544,Al1Cl1O1,1000.0,79.245
2755,K2O2,1600.0,182.958
1002,B1N1,1700.0,48.93899999999999
2493,N0.465V1,400.0,32.677
3599,F1Li1,2100.0,74.72
2734,Mg1S1,600.0,49.915
665,Ba1,350.0,29.898000000000003
1430,Fe1I2,860.0,120.005
3382,Ca1Cl2,1200.0,91.63
1982,H4I1N1,1400.0,156.09799999999998
300,Be2O4Si1,1400.0,180.916
3122,F2Mg1,700.0,77.178
3865,N4Si3,1100.0,163.678
4259,O3V2,2700.0,193.437
1681,Cu1O4S1,800.0,147.695
205,Al1Br3,1200.0,124.767
2529,K1O2,1000.0,94.893
1199,F2Hg1,1800.0,106.274
4207,O2Ti1,1700.0,77.237
2192,I2Zr1,1000.0,99.83
3593,Cu1,350.0,24.975
2914,N1Ti1,1500.0,56.246
418,Al1F6Na3,500.0,248.634
2342,Li2O3Si1,2300.0,184.565
1715,F2H1K1,600.0,100.249
3876,N5P3,1300.0,271.207
4162,O2.96W1,600.0,92.257
3445,O5Ti3,298.0,154.808
2735,Mg1S1,500.0,48.953
1554,H3O4P1,800.0,258.069
754,Ba1I2,1300.0,112.968
669,Br4Ti1,1200.0,133.779
3179,O3Ti2,1100.0,147.528
2558,C1Na2O3,1400.0,209.74400000000003
2105,Ca1S1,2100.0,58.382
1065,Br1Na1,1020.0,61.337
2543,Mo1O3,1000.0,109.039
2565,C1Na2O3,800.0,153.344
1832,Cu1F1,500.0,57.656000000000006
2413,Al1Na1O2,2400.0,125.194
3447,O5V2,1300.0,192.46400000000003
662,Ba1,500.0,43.744
2829,Li2O2,1100.0,124.892
4309,O4S1Zn1,1400.0,145.185
2691,Na2O3Si1,1300.0,181.23
2339,F1K1,400.0,51.045
1492,Fe0.947O1,500.0,51.848
1030,Co1O4S1,800.0,152.047
590,Br1H4N1,1300.0,168.127
2507,Mg2O4Ti1,1900.0,215.765
280,B1Ti1,600.0,48.568000000000005
4407,S1,600.0,28.995
4330,O4Si1Zr1,2500.0,150.624
811,Be1H2O2,400.0,82.902
2747,Cu2O5S1,700.0,195.811
3333,O4V2,1200.0,165.209
3176,O3Ti2,1400.0,150.08
2274,H1K1O1,1300.0,78.65899999999999
53,Al2Be1O4,1800.0,195.79
1889,I1Li1,700.0,62.258
3783,Mo2S3,2200.0,182.625
1075,Cr2O3,2800.0,145.333
2685,Na2O3Si1,1800.0,197.56
3081,Nb1O1,2700.0,66.87100000000001
2935,N1V1,2700.0,70.166
2485,N0.465V1,1200.0,44.852
2336,F1K1,700.0,55.856
3904,Na2O2,800.0,113.596
1552,F1Na1,298.0,46.852
1428,Fe1I2,1000.0,136.817
1154,Cl1Li1,1200.0,68.358
847,C1Be2,2900.0,92.534
1791,Fe1,1100.0,46.401
3010,Na2O1,1023.15,95.265
1797,Fe1,700.0,34.602
1042,Cu1O1,1400.0,58.601000000000006
1548,F1Na1,600.0,52.677
1454,Cl1Li1O4,700.0,160.03799999999998
1074,Cr2O3,2900.0,146.24200000000002
138,Br2Ca1,1000.0,88.617
788,C1K1N1,1700.0,66.82600000000001
4206,O2Ti1,1800.0,77.362
2415,Al1Na1O2,2200.0,122.759
1601,H1Na1O1,596.0,86.023
2868,Al2Mg1O4,1800.0,209.652
676,Br4Ti1,500.0,133.779
2320,Mn1,300.0,26.347
2920,N1Ti1,900.0,51.38399999999999
637,Al1F6Li3,400.0,229.86900000000003
272,B1Ti1,1400.0,52.593
2859,Al2Mg1O4,2600.0,238.697
4131,O2.72W1,900.0,93.471
1139,Cr2N1,900.0,87.738
3558,Br2Mo1,300.0,79.705
4434,S1Sr1,1000.0,56.233
3290,O3W1,700.0,96.141
3322,K1,300.0,29.573
3849,N4Si3,2700.0,187.567
3454,O5V2,700.0,173.234
2879,Al2Mg1O4,700.0,164.155
3197,Ca1,600.0,30.382
1698,H1Li1,500.0,40.735
4128,O2.72W1,1200.0,97.822
1025,Co1O4S1,1100.0,160.415
27,Be1I2,298.0,68.961
3927,Na2S1,800.0,90.165
4047,O1Pb1,700.0,56.651
3107,Nb1O1,298.0,41.112
2957,N1V1,500.0,46.183
1083,Cr2O3,2100.0,139.056
1577,Fe3O4,1400.0,200.832
2772,Mg1O3Ti1,2700.0,154.975
4465,Ti1,1100.0,34.334
958,Al2O3,2700.0,141.754
841,Al1H4Li1,300.0,86.944
2950,N1V1,1200.0,55.907
1884,I1Li1,1200.0,74.559
962,Al2O3,2327.0,138.934
2681,Na2O3Si1,2200.0,209.213
2779,Mg1O3Ti1,2000.0,144.595
976,Al2O3,1000.0,124.771
241,Br2Ti1,700.0,83.295
217,Br3Zr1,1800.0,106.525
2698,Na2O3Si1,600.0,147.114
326,Al1,800.0,30.562
1006,B1N1,1300.0,47.698
301,Be2O4Si1,1300.0,179.636
3334,O4V2,1100.0,162.987
1580,Fe3O4,1100.0,200.832
1184,Cl1Na1,1400.0,77.53
1423,Br2Fe1,300.0,80.274
1867,Fe1H3O3,600.0,140.582
1534,F1Na1,1900.0,71.128
3450,O5V2,1000.0,183.678
2157,Mg1O3Si1,1700.0,122.432
2491,N0.465V1,600.0,36.815
4568,Zr1,1300.0,34.681
843,C1Be2,3300.0,92.864
1627,H1Na1,1300.0,62.425
3754,Mg1,400.0,26.144
571,Be1F4Li2,1000.0,239.911
1256,Br2Sr1,298.0,76.85300000000001
3123,F2Mg1,600.0,75.32
3254,O4Pb3,1200.0,215.894
758,Ba1I2,984.0,91.211
3215,Nb1O2,1600.0,83.052
3177,O3Ti2,1300.0,149.369
3731,Li2O5Si2,700.0,214.89
761,Ba1I2,800.0,87.529
2121,Ca1S1,500.0,50.501000000000005
2517,Mg2O4Ti1,900.0,179.36
1374,Al1Li1O2,1700.0,112.14
4458,Sr1,298.0,26.791
735,Ba1F2,600.0,80.333
3279,O3W1,1600.0,107.149
228,Br3Zr1,700.0,105.018
2500,Mg2O4Ti1,2500.0,233.049
3744,Mg1,1200.0,37.164
1307,Co1,2100.0,37.656
1302,Fe1O1,300.0,49.999
1014,B1N1,500.0,31.38
2980,Ni1S1,1500.0,77.278
4236,O2Zr1,2200.0,74.475
4386,Pb1S1,1400.0,59.957
3354,O2.90W1,2100.0,113.094
3363,O2.90W1,1200.0,101.88
3870,N4Si3,600.0,129.704
3022,I4Si1,393.65,116.388
1703,F2H1K1,1800.0,100.249
1156,Cl1Li1,1000.0,64.17
850,C1Be2,2600.0,92.253
636,Al1F6Li3,500.0,248.111
2557,C1Na2O3,1500.0,212.547
1141,Cr2N1,700.0,82.257
3150,Nb1,900.0,27.593000000000004
3733,Li2O5Si2,500.0,192.673
4078,O1Sr1,1100.0,56.873000000000005
1527,F1Na1,2600.0,71.128
625,Al1F6Li3,1000.0,305.432
3365,O2.90W1,1000.0,99.244
4213,O2Ti1,1100.0,75.814
3019,Na2O1,298.0,69.10300000000001
2938,N1V1,2400.0,67.53
3919,Na2S1,1400.0,137.15200000000002
123,B1H4Na1,1100.0,130.039
632,Al1F6Li3,748.0,279.073
257,B1Ti1,2900.0,54.601000000000006
4266,O3V2,2100.0,172.847
1677,Cu1O4S1,1200.0,158.113
1693,H1Li1,961.8,65.985
4271,O3V2,1600.0,156.221
1985,H4I1N1,1100.0,139.327
1588,Fe3O4,500.0,192.38
2488,N0.465V1,900.0,41.095
1890,I1Li1,600.0,58.66
1264,Br2Sr1,918.0,115.06
1870,Fe1H3O3,300.0,102.09
1381,Al1Li1O2,1000.0,102.006
1528,F1Na1,2500.0,71.128
531,Al1Cl1O1,2300.0,83.036
2611,Mo1S2,600.0,73.597
2133,K2O4S1,300.0,131.666
4554,Zn1,900.0,32.716
4228,O2Zr1,2950.0,74.475
1565,Fe3O4,2600.0,200.832
528,Al1Cl1O1,2600.0,83.052
3890,Na2O2,2200.0,113.596
2325,F1K1,1700.0,71.128
2145,I2Mg1,500.0,80.919
4169,O2Pb1,900.0,78.602
702,Be1O4S1,1600.0,200.004
2011,Hf1,900.0,31.12
3444,O5Ti3,300.0,155.477
2338,F1K1,500.0,52.718
2739,Cu2O5S1,298.0,141.043
1578,Fe3O4,1300.0,200.832
2985,Ni1S1,1100.0,65.898
