,FORMULA,T (K),Cp (J/molK)
2299,Mn1,1519.0,46.108
2910,N1Ti1,1900.0,59.848
2118,Ca1S1,800.0,53.011
728,Ba1F2,1240.0,194.713
289,Be2O4Si1,2500.0,191.041
647,Ba1,298.0,28.096
3596,F1Li1,2400.0,76.872
1183,Fe0.877S1,298.0,49.883
4467,Ti1,900.0,30.454
4510,W1,4200.0,94.663
2801,Na2S2,753.0,123.972
259,B1Ti1,2700.0,54.333
4123,O2.72W1,1700.0,104.516
2018,Hf1,350.0,26.247
4539,W1,1400.0,29.393
3800,Mo2S3,600.0,127.399
4363,P1,300.0,23.87
4449,Sr1,820.0,32.151
2542,Mo1O3,1074.0,112.562
661,Ba1,582.53,32.468
3704,Li2O4S1,800.0,196.062
49,Al2Be1O4,2146.0,226.25
4241,O2Zr1,1700.0,74.475
238,Br2Ti1,1000.0,86.734
4155,O2.96W1,1300.0,104.851
2364,Li2O3Si1,298.0,100.567
1594,H1Na1O1,1200.0,86.023
498,C0.98Nb1,1400.0,54.504
3230,Nb1O2,500.0,67.73899999999999
1789,Fe1,1200.0,40.794
1959,I4Zr1,300.0,127.88
1858,Cr1N1,300.0,51.393
3586,Cu1,900.0,28.049
4460,Ti1,1500.0,49.764
2748,Cu2O5S1,600.0,187.82
1144,Cr2N1,400.0,73.429
3898,Na2O2,1400.0,113.596
3193,Ca1,900.0,36.819
3381,Ca1Cl2,1300.0,94.558
2513,Mg2O4Ti1,1300.0,195.456
1048,Cu1O1,800.0,53.349
1651,Cl1Na1O4,500.0,150.20600000000002
2243,H1K1,900.0,58.44
2945,N1V1,1700.0,61.17
423,Ca1H2O2,700.0,110.709
635,Al1F6Li3,600.0,262.295
3648,I1K1,1200.0,73.13600000000001
4319,O4S1Zn1,600.0,137.444
2484,N0.465V1,1300.0,46.066
2715,Mg1S1,2500.0,58.131
4247,O2Zr1,1300.0,78.58
2039,I2Sr1,900.0,94.492
1630,H1Na1,1000.0,59.413
1958,I4Zr1,400.0,131.001
2063,C1K2O3,600.0,150.666
1596,H1Na1O1,1000.0,86.023
4018,Ni3S4,1000.0,265.638
2989,Ni1S1,700.0,54.518
2809,I3Ti1,1400.0,124.792
4148,O2.96W1,2000.0,113.303
2021,F2Hg2,1400.0,125.825
3274,O3W1,2000.0,113.805
2773,Mg1O3Ti1,2600.0,153.381
492,C0.98Nb1,2000.0,57.656000000000006
3111,F2Mg1,1700.0,84.35799999999999
2518,Mg2O4Ti1,800.0,174.707
3912,Na2S1,298.0,82.801
2878,Al2Mg1O4,800.0,169.47299999999998
821,Cs1,301.55,32.501
983,Al2O3,300.0,79.416
1879,I1Li1,1700.0,76.191
4306,O4S1Zn1,1700.0,145.185
1491,Fe0.947O1,600.0,53.028
3050,O1Ti1,1700.0,71.839
1818,Cu1F1,1900.0,64.434
348,B1H3O3,1400.0,181.279
3054,O1Ti1,1300.0,64.643
308,Be2O4Si1,600.0,149.16
1551,F1Na1,300.0,46.924
4561,Zn1,400.0,26.346
2152,Mg1O3Si1,2100.0,122.432
2931,N1V1,3100.0,73.638
4215,O2Ti1,900.0,74.726
3738,Mg1,1800.0,53.199
836,Al1H4Li1,800.0,114.223
4508,W1,4400.0,105.646
3616,F1Li1,500.0,49.32899999999999
2702,Na2O3Si1,298.0,111.88
4156,O2.96W1,1200.0,103.512
4341,O4Si1Zr1,1400.0,150.415
3269,O3W1,2500.0,122.173
3185,O3Ti2,500.0,130.248
3267,O3W1,2700.0,125.52
287,Be2O4Si1,2700.0,192.815
3194,Ca1,800.0,34.613
1481,Fe0.947O1,1600.0,62.065
2761,K2O2,1000.0,146.858
3115,F2Mg1,1400.0,82.977
1095,Cr2O3,900.0,125.725
1714,F2H1K1,700.0,100.249
991,B1N1,2800.0,48.953
4258,O3V2,298.0,104.963
2716,Mg1S1,2400.0,57.739
419,Al1F6Na3,400.0,236.379
3120,F2Mg1,900.0,79.626
1923,Fe1S1,598.0,72.358
1908,Al1I3,300.0,99.077
2242,H1K1,1000.0,59.831
